"Season","Age","Tm","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","lName","fName"
"2017-18",25,"BOS","PG",15,1,5.3,0.1,0.9,0.143,0,0.5,0,0.1,0.4,0.333,0.143,0.2,0.3,0.75,0.1,0.3,0.5,0.4,0.1,0.1,0.4,0.9,0.5,"Allen","Kadeem"
"2012-13",26,"SAS","C",16,0,8.8,1.1,2.3,0.5,0,0.1,0,1.1,2.2,0.514,0.5,0.4,0.8,0.583,0.8,1.3,2,0.3,0.1,0.4,0.7,1.4,2.7,"Baynes","Aron"
"2013-14",27,"SAS","C",53,4,9.3,1.3,3.1,0.436,0,0,NA,1.3,3.1,0.436,0.436,0.4,0.4,0.905,1.1,1.7,2.7,0.6,0,0.1,0.7,1.5,3,"Baynes","Aron"
"2014-15",28,"SAS","C",70,17,16,2.6,4.7,0.566,0,0.1,0.25,2.6,4.6,0.57,0.567,1.3,1.5,0.865,1.6,3,4.5,0.5,0.2,0.3,0.9,2.3,6.6,"Baynes","Aron"
"2015-16",29,"DET","C",81,1,15.2,2.4,4.7,0.505,0,0,0,2.4,4.7,0.508,0.505,1.6,2,0.764,1.7,3,4.7,0.6,0.3,0.6,0.8,1.9,6.3,"Baynes","Aron"
"2016-17",30,"DET","C",75,2,15.5,1.9,3.7,0.513,0,0,NA,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3,4.4,0.4,0.2,0.5,0.7,2.2,4.9,"Baynes","Aron"
"2017-18",31,"BOS","C",78,64,18.2,2.5,5.2,0.477,0,0.2,0.125,2.5,5,0.491,0.479,0.7,1,0.75,1.5,3.8,5.3,1.2,0.3,0.6,1,2.5,5.8,"Baynes","Aron"
"2017-18",23,"BOS","SG",10,0,6.1,0.8,1.4,0.571,0.1,0.4,0.25,0.7,1,0.7,0.607,0.3,0.9,0.333,0.2,0.5,0.7,0.4,0.2,0.1,0.3,0.2,2,"Bird","Jabari"
"2016-17",20,"BOS","SF",78,20,17.2,2.5,5.4,0.454,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,"Brown","Jaylen"
"2017-18",21,"BOS","SG",68,68,30.8,5.3,11.4,0.465,1.7,4.3,0.391,3.6,7.1,0.509,0.539,2.1,3.3,0.644,1,4.1,5,1.6,1,0.4,1.8,2.6,14.4,"Brown","Jaylen"
