"gameDate","lName","fName","mp","fg","fga","threeP","threePA","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts","gmScore","plusMinus"
2017-10-17,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-18,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-20,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-24,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-26,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-28,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-10-30,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-01,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-03,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-05,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-06,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-08,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-10,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-12,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-14,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-16,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-18,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-20,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-22,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-24,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-25,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-27,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-30,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-02,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-04,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-06,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-08,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-10,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-11,"Allen","Kadeem",5.05,"0","1","0","1","1","2","1","1","2","0","0","0","1","0","1","-0.1","1"
2017-12-13,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-15,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-16,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-18,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-20,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-21,"Allen","Kadeem",0.18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2017-12-23,"Allen","Kadeem",2.49,"0","1","0","1","2","2","0","0","0","0","0","0","0","0","2","1.3","3"
2017-12-25,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-27,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-28,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-31,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-03,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-05,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-06,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-11,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-16,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-18,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-21,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-23,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-24,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-27,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-29,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-31,"Allen","Kadeem",6.06,"0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0.6","-2"
2018-02-02,"Allen","Kadeem",7.38,"0","2","0","1","0","0","0","1","1","0","0","0","2","1","0","-3.5","-9"
2018-02-04,"Allen","Kadeem",0.21,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2018-02-06,"Allen","Kadeem",5.07,"1","2","0","0","0","0","0","0","0","1","0","0","0","0","2","1.7","7"
2018-02-08,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-09,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-11,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-14,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-23,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-24,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-26,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-28,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-03,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-05,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-08,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-11,"Allen","Kadeem",0.01,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
2018-03-14,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-16,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-18,"Allen","Kadeem",3.35,"0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","2"
2018-03-20,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-23,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-25,"Allen","Kadeem",0.16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
2018-03-26,"Allen","Kadeem",0.18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1"
2018-03-28,"Allen","Kadeem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-03-31,"Allen","Kadeem",7.4,"0","0","0","0","0","0","0","0","0","1","0","0","1","3","0","-1.5","1"
2018-04-03,"Allen","Kadeem",22.36,"1","4","0","2","0","0","0","1","1","2","1","1","1","4","2","0.4","-7"
2018-04-04,"Allen","Kadeem",17.27,"0","4","0","3","0","0","1","1","2","1","0","0","1","3","0","-3.3","-1"
2018-04-06,"Allen","Kadeem",0.25,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-0.4",NA
2017-10-17,"Baynes","Aron",19.06,"2","2","0","0","2","4","2","3","5","1","0","1","2","5","6","4.3","-14"
2017-10-18,"Baynes","Aron",15.58,"2","3","0","0","0","0","1","1","2","0","0","0","0","4","4","2.1","-7"
2017-10-20,"Baynes","Aron",13.4,"5","8","0","0","0","1","5","3","8","2","0","0","1","5","10","8.8","-3"
2017-10-24,"Baynes","Aron",22.16,"1","3","0","0","1","2","1","3","4","1","1","1","0","2","3","4.1","10"
2017-10-26,"Baynes","Aron",23.4,"3","6","0","0","6","6","0","7","7","1","0","0","2","2","12","9","12"
2017-10-28,"Baynes","Aron",24.29,"2","3","0","0","2","2","2","3","5","1","1","4","1","2","6","9.7","7"
2017-10-30,"Baynes","Aron",16.29,"3","6","0","0","0","0","2","3","5","1","1","1","1","1","6","6.3","6"
2017-11-01,"Baynes","Aron",22.43,"2","6","0","0","0","0","4","5","9","2","0","0","1","2","4","4.5","13"
2017-11-03,"Baynes","Aron",20.3,"2","7","0","0","1","2","1","5","6","0","0","1","0","2","5","2.6","-7"
2017-11-05,"Baynes","Aron",15.41,"3","5","0","0","0","0","2","5","7","0","0","0","0","1","6","6.2","10"
2017-11-06,"Baynes","Aron",14.37,"1","5","0","1","0","0","0","3","3","0","0","0","0","0","2","-0.2","-6"
2017-11-08,"Baynes","Aron",22.53,"8","12","0","0","5","8","5","3","8","3","0","0","2","4","21","17.5","-3"
2017-11-10,"Baynes","Aron",25.58,"2","5","0","0","0","0","4","3","7","2","1","3","2","2","4","6.7","-1"
2017-11-12,"Baynes","Aron",20.29,"1","6","0","0","1","2","4","4","8","1","0","0","0","1","3","3.1","9"
2017-11-14,"Baynes","Aron",12.28,"0","4","0","1","0","2","1","1","2","1","0","1","1","1","0","-2.6","-4"
2017-11-16,"Baynes","Aron",12.12,"1","4","0","0","2","2","0","5","5","1","1","0","1","0","4","3.8","11"
2017-11-18,"Baynes","Aron",12.55,"1","3","0","0","0","0","2","2","4","0","0","1","3","4","2","-1.6","9"
2017-11-20,"Baynes","Aron",13.24,"0","1","0","0","0","0","1","3","4","0","1","0","0","4","0","0.3","1"
2017-11-22,"Baynes","Aron",12.11,"1","3","0","0","0","0","0","2","2","0","1","0","1","2","2","0.1","-3"
2017-11-24,"Baynes","Aron",21.58,"6","9","0","0","1","2","7","4","11","2","0","0","1","1","13","14.8","-4"
2017-11-25,"Baynes","Aron",23.57,"4","5","0","1","0","0","0","4","4","0","1","0","2","2","8","5.5","4"
2017-11-27,"Baynes","Aron",12.41,"3","3","0","0","0","0","2","4","6","1","0","0","2","0","6","6.4","5"
2017-11-30,"Baynes","Aron",13.47,"0","1","0","0","2","2","0","2","2","0","1","2","0","0","2","4.3","2"
2017-12-02,"Baynes","Aron",17.42,"3","6","0","0","0","0","0","1","1","2","0","1","1","2","6","3.6","16"
