Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-17,22-316,BOS,@,CLE,L (-3),0,8:39,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-10
2,2,2017-10-18,22-317,BOS,,MIL,L (-8),0,11:39,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,0,3,1.3,0
3,,2017-10-20,22-319,BOS,@,PHI,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2017-10-24,22-323,BOS,,NYK,W (+21),0,15:37,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,3,0,-1.3,+7
5,4,2017-10-26,22-325,BOS,@,MIL,W (+7),0,13:46,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,0,0,0.0,-2
6,5,2017-10-28,22-327,BOS,@,MIA,W (+6),0,6:52,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-7
7,6,2017-10-30,22-329,BOS,,SAS,W (+14),0,21:54,2,5,.400,1,4,.250,2,3,.667,2,2,4,0,0,0,0,1,7,5.5,+1
8,7,2017-11-01,22-331,BOS,,SAC,W (+27),0,22:27,3,6,.500,3,6,.500,2,2,1.000,1,1,2,0,0,0,0,2,11,8.2,+8
9,8,2017-11-03,22-333,BOS,@,OKC,W (+7),0,14:21,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,3,4.0,-2
10,9,2017-11-05,22-335,BOS,@,ORL,W (+16),0,16:46,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,1,0,0,0,5,6.0,+6
