"gameDate","celtics","opponent","celtPoints","oppPoints","isHome","isWin"
2017-10-17,"Boston Celtics","Cleveland Cavaliers",99,102,"0","0"
2017-10-18,"Boston Celtics","Milwaukee Bucks",100,108,"1","0"
2017-10-20,"Boston Celtics","Philadelphia 76ers",102,92,"0","1"
2017-10-24,"Boston Celtics","New York Knicks",110,89,"1","1"
2017-10-26,"Boston Celtics","Milwaukee Bucks",96,89,"0","1"
2017-10-28,"Boston Celtics","Miami Heat",96,90,"0","1"
2017-10-30,"Boston Celtics","San Antonio Spurs",108,94,"1","1"
2017-11-01,"Boston Celtics","Sacramento Kings",113,86,"1","1"
2017-11-03,"Boston Celtics","Oklahoma City Thunder",101,94,"0","1"
2017-11-05,"Boston Celtics","Orlando Magic",104,88,"0","1"
2017-11-06,"Boston Celtics","Atlanta Hawks",110,107,"0","1"
2017-11-08,"Boston Celtics","Los Angeles Lakers",107,96,"1","1"
2017-11-10,"Boston Celtics","Charlotte Hornets",90,87,"1","1"
2017-11-12,"Boston Celtics","Toronto Raptors",95,94,"1","1"
2017-11-14,"Boston Celtics","Brooklyn Nets",109,102,"0","1"
2017-11-16,"Boston Celtics","Golden State Warriors",92,88,"1","1"
2017-11-18,"Boston Celtics","Atlanta Hawks",110,99,"0","1"
2017-11-20,"Boston Celtics","Dallas Mavericks",110,102,"0","1"
2017-11-22,"Boston Celtics","Miami Heat",98,104,"0","0"
2017-11-24,"Boston Celtics","Orlando Magic",118,103,"1","1"
2017-11-25,"Boston Celtics","Indiana Pacers",108,98,"0","1"
2017-11-27,"Boston Celtics","Detroit Pistons",108,118,"1","0"
2017-11-30,"Boston Celtics","Philadelphia 76ers",108,97,"1","1"
2017-12-02,"Boston Celtics","Phoenix Suns",116,111,"1","1"
2017-12-04,"Boston Celtics","Milwaukee Bucks",111,100,"1","1"
2017-12-06,"Boston Celtics","Dallas Mavericks",97,90,"1","1"
2017-12-08,"Boston Celtics","San Antonio Spurs",102,105,"0","0"
2017-12-10,"Boston Celtics","Detroit Pistons",91,81,"0","1"
2017-12-11,"Boston Celtics","Chicago Bulls",85,108,"0","0"
2017-12-13,"Boston Celtics","Denver Nuggets",124,118,"1","1"
2017-12-15,"Boston Celtics","Utah Jazz",95,107,"1","0"
2017-12-16,"Boston Celtics","Memphis Grizzlies",102,93,"0","1"
2017-12-18,"Boston Celtics","Indiana Pacers",112,111,"0","1"
2017-12-20,"Boston Celtics","Miami Heat",89,90,"1","0"
2017-12-21,"Boston Celtics","New York Knicks",93,102,"0","0"
2017-12-23,"Boston Celtics","Chicago Bulls",117,92,"1","1"
2017-12-25,"Boston Celtics","Washington Wizards",103,111,"1","0"
2017-12-27,"Boston Celtics","Charlotte Hornets",102,91,"0","1"
2017-12-28,"Boston Celtics","Houston Rockets",99,98,"1","1"
2017-12-31,"Boston Celtics","Brooklyn Nets",108,105,"1","1"
2018-01-03,"Boston Celtics","Cleveland Cavaliers",102,88,"1","1"
2018-01-05,"Boston Celtics","Minnesota Timberwolves",91,84,"1","1"
